# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Sat Oct 31 01:07:41 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
9.8116e-05 -2.19174 9.77815 0.1000000015 1.1711064577    0.100 -2.786  3.5578  5.408    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-16      0.00 7.481e-01 2.518e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.001e-04 11.736 15.946 14.485 12.924 11.847 10.982 9.997 9.602 9.486
9.8116e-05 -2.19174 9.77815 0.1098214313 1.2482755184    0.109 -2.638  3.5732  5.359    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.83e-16      0.00 7.473e-01 2.526e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.990e-05 11.364 15.074 13.839 12.408 11.408 10.624 9.681 9.236 9.108
9.8116e-05 -2.19174 9.77815 0.1294642836 1.3786746264    0.129 -2.398  3.5957  5.282    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.2e-16      0.00 7.456e-01 2.543e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.001e-04 10.765 13.847 12.888 11.625 10.741 10.037 9.159 8.662 8.516
9.8116e-05 -2.19174 9.77815 0.1491071582 1.4855960608    0.149 -2.241  3.6071  5.231    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.54e-16      0.00 7.445e-01 2.554e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.001e-04 10.371 13.177 12.339 11.148 10.318 9.645 8.802 8.290 8.134
9.8116e-05 -2.19174 9.77815 0.1687500030 1.5756140947    0.168 -2.118  3.6145  5.192    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.93e-16      0.00 7.438e-01 2.561e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 10.066 12.704 11.938 10.790 9.995 9.340 8.519 8.003 7.842
9.8116e-05 -2.19174 9.77815 0.2080357224 1.7204496861    0.207 -1.916  3.6256  5.125    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.16e-16      0.00 7.431e-01 2.568e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 9.560 11.959 11.299 10.210 9.462 8.835 8.047 7.530 7.366
9.8116e-05 -2.19174 9.77815 0.2571428716 1.8581268787    0.257 -1.723  3.6357  5.064    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.38e-15      0.00 7.430e-01 2.569e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 9.076 11.272 10.702 9.661 8.955 8.351 7.593 7.082 6.919
9.8116e-05 -2.19174 9.77815 0.3062500358 1.9652637243    0.306 -1.572  3.6439  5.023    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.88e-15      0.00 7.431e-01 2.568e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 8.699 10.736 10.239 9.234 8.558 7.973 7.239 6.736 6.577
9.8116e-05 -2.19174 9.77815 0.3553571701 2.0521113873    0.355 -1.447  3.6516  4.993    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.4e-15      0.00 7.439e-01 2.560e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 8.387 10.283 9.851 8.878 8.229 7.661 6.950 6.455 6.302
9.8116e-05 -2.19174 9.77815 0.4044643044 2.1246092319    0.404 -1.333  3.6596  4.968    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.01e-15      0.00 7.504e-01 2.495e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 8.103 9.858 9.493 8.552 7.929 7.378 6.690 6.205 6.058
9.8116e-05 -2.19174 9.77815 0.4535714388 2.1864814758    0.453 -1.196  3.6718  4.929    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.08e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 7.759 9.301 9.039 8.149 7.564 7.037 6.384 5.916 5.780
9.8116e-05 -2.19174 9.77815 0.5026785731 2.2401986122    0.503 -1.044  3.6853  4.876    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.84e-15      0.00 7.517e-01 2.482e-01 1.792e-05 4.835e-06 4.385e-05 -1.000 1.001e-04 7.380 8.704 8.547 7.713 7.167 6.667 6.051 5.600 5.477
9.8116e-05 -2.19174 9.77815 0.5113383532 2.2488451004    0.511 -1.012  3.6884  4.864    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.32e-15      0.00 7.547e-01 2.452e-01 1.772e-05 4.781e-06 4.337e-05 -1.000 9.945e-05 7.300 8.576 8.443 7.622 7.084 6.590 5.982 5.536 5.416
9.8116e-05 -2.19174 9.77815 0.5517857671 2.2851314545    0.551 -0.870  3.7023  4.811    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.96e-15      0.00 7.680e-01 2.319e-01 1.682e-05 4.539e-06 4.118e-05 -1.000 9.678e-05 6.946 8.020 7.983 7.221 6.718 6.252 5.679 5.253 5.145
9.8116e-05 -2.19174 9.77815 0.6008928418 2.3217256069    0.601 -0.693  3.7235  4.755    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.38e-14      0.00 7.744e-01 2.255e-01 1.640e-05 4.426e-06 4.016e-05 -1.000 2.751e-05 6.502 7.310 7.397 6.722 6.267 5.840 5.321 4.925 4.836
9.8116e-05 -2.19174 9.77815 0.6194036007 2.3338003159    0.619 -0.624  3.7327  4.737    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.62e-14      0.00 7.776e-01 2.223e-01 1.619e-05 4.371e-06 3.966e-05 -1.000 9.996e-05 6.331 7.041 7.172 6.531 6.097 5.685 5.189 4.806 4.724
9.8116e-05 -2.19174 9.77815 0.6409386396 2.3468434811    0.641 -0.545  3.7432  4.715    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.96e-14      0.00 7.816e-01 2.183e-01 1.593e-05 4.301e-06 3.903e-05 -1.000 8.242e-05 6.134 6.743 6.918 6.317 5.903 5.510 5.038 4.670 4.597
