# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Sat Oct 31 01:06:30 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
9.8116e-05 -2.19174 9.84510 0.6129957438 2.3297152519    0.613 -0.633  3.7310  4.734    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1  -1.6e-14      0.00 7.807e-01 2.192e-01 1.598e-05 4.315e-06 3.915e-05 -1.000 2.666e-05 6.353 7.079 7.203 6.557 6.118 5.704 5.204 4.818 4.735
9.8116e-05 -2.19174 9.84510 0.6320337057 2.3415739536    0.632 -0.561  3.7406  4.714    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.91e-14      0.00 7.847e-01 2.152e-01 1.572e-05 4.245e-06 3.853e-05 -1.000 1.001e-04 6.173 6.805 6.970 6.359 5.941 5.543 5.065 4.693 4.618
9.8116e-05 -2.19174 9.84510 0.6491008997 2.3515276909    0.649 -0.497  3.7492  4.696    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.23e-14      0.00 7.887e-01 2.112e-01 1.547e-05 4.177e-06 3.792e-05 -1.000 1.000e-04 6.012 6.568 6.766 6.186 5.786 5.404 4.945 4.584 4.516
9.8116e-05 -2.19174 9.84510 0.6499999762 2.3520355225    0.650 -0.493  3.7497  4.695    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.24e-14      0.00 7.889e-01 2.110e-01 1.545e-05 4.174e-06 3.789e-05 -1.000 9.996e-05 6.003 6.555 6.755 6.177 5.778 5.396 4.939 4.578 4.511
9.8116e-05 -2.19174 9.84510 0.6578874588 2.3564212322    0.658 -0.463  3.7536  4.686    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.41e-14      0.00 7.911e-01 2.088e-01 1.530e-05 4.135e-06 3.754e-05 -1.000 1.000e-04 5.929 6.448 6.662 6.098 5.707 5.332 4.883 4.527 4.463
9.8116e-05 -2.19174 9.84510 0.6781261563 2.3671398163    0.678 -0.387  3.7636  4.662    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.92e-14      0.00 7.975e-01 2.025e-01 1.490e-05 4.026e-06 3.657e-05 -1.000 5.713e-05 5.737 6.181 6.425 5.896 5.525 5.168 4.740 4.396 4.341
9.8116e-05 -2.19174 9.84510 0.6965694427 2.3762865067    0.696 -0.317  3.7725  4.640    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -3.47e-14      0.00 8.039e-01 1.960e-01 1.449e-05 3.916e-06 3.558e-05 -1.000 1.001e-04 5.563 5.951 6.216 5.716 5.362 5.019 4.609 4.275 4.229
9.8116e-05 -2.19174 9.84510 0.6999999881 2.3779268265    0.700 -0.304  3.7741  4.636    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -3.58e-14      0.00 8.052e-01 1.947e-01 1.440e-05 3.895e-06 3.538e-05 -1.000 9.999e-05 5.530 5.910 6.177 5.683 5.332 4.991 4.584 4.252 4.207
9.8116e-05 -2.19174 9.84510 0.7108590603 2.3829991817    0.711 -0.263  3.7790  4.621    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -3.97e-14      0.00 8.104e-01 1.895e-01 1.403e-05 3.805e-06 3.459e-05 -1.000 1.000e-04 5.427 5.779 6.056 5.578 5.236 4.903 4.505 4.179 4.138
9.8116e-05 -2.19174 9.84510 0.7237555981 2.3887965679    0.724 -0.214  3.7847  4.602    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.51e-14      0.00 8.168e-01 1.831e-01 1.359e-05 3.699e-06 3.365e-05 -1.000 9.999e-05 5.304 5.628 5.912 5.452 5.121 4.798 4.412 4.093 4.057
9.8116e-05 -2.19174 9.84510 0.7416660786 2.3964643478    0.741 -0.145  3.7924  4.574    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -5.39e-14      0.00 8.256e-01 1.743e-01 1.300e-05 3.557e-06 3.240e-05 -1.000 9.996e-05 5.132 5.422 5.711 5.275 4.959 4.649 4.279 3.972 3.942
9.8116e-05 -2.19174 9.84510 0.7500000000 2.3998889923    0.750 -0.112  3.7959  4.561    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -5.87e-14      0.00 8.297e-01 1.703e-01 1.275e-05 3.495e-06 3.186e-05 -1.000 4.640e-05 5.050 5.328 5.618 5.192 4.883 4.579 4.216 3.914 3.886
9.8116e-05 -2.19174 9.84510 0.7555248141 2.4021115303    0.755 -0.091  3.7982  4.551    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -6.21e-14      0.00 8.302e-01 1.698e-01 1.276e-05 3.500e-06 3.191e-05 -1.000 4.113e-06 4.996 5.265 5.555 5.137 4.832 4.532 4.174 3.876 3.850
9.8116e-05 -2.19174 9.84510 0.7672261000 2.4066972733    0.767 -0.044  3.8030  4.531    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -7.01e-14      0.00 8.311e-01 1.689e-01 1.280e-05 3.513e-06 3.204e-05 -1.000 1.977e-05 4.881 5.135 5.423 5.019 4.723 4.431 4.084 3.793 3.770
9.8116e-05 -2.19174 9.84510 0.7780114412 2.4107840061    0.778 -0.001  3.8074  4.511    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -7.87e-14      0.00 8.317e-01 1.682e-01 1.284e-05 3.527e-06 3.218e-05 -1.000 9.996e-05 4.772 5.015 5.299 4.908 4.620 4.335 3.998 3.716 3.695
9.8116e-05 -2.19174 9.84510 0.7882370353 2.4145400524    0.788  0.041  3.8116  4.492    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -8.81e-14      0.00 8.322e-01 1.678e-01 1.289e-05 3.542e-06 3.233e-05 -1.000 4.973e-05 4.668 4.900 5.180 4.801 4.521 4.243 3.915 3.640 3.622
9.8116e-05 -2.19174 9.84510 0.8000000119 2.4187245369    0.799  0.090  3.8163  4.468    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.01e-13      0.00 8.326e-01 1.674e-01 1.295e-05 3.561e-06 3.252e-05 -1.000 1.490e-08 4.544 4.769 5.040 4.673 4.402 4.132 3.815 3.550 3.533
