# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Sat Oct 31 00:59:38 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
9.8116e-05 -2.19174 10.00000 0.1000000015 1.1711064577    0.100 -2.782  3.5584  5.406    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.3e-16      0.00 7.463e-01 2.536e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.726 15.914 14.463 12.907 11.834 10.972 9.989 9.592 9.476
9.8116e-05 -2.19174 10.00000 0.1098214313 1.2482755184    0.109 -2.634  3.5738  5.357    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.85e-16      0.00 7.448e-01 2.551e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.354 15.047 13.819 12.393 11.396 10.615 9.673 9.226 9.098
9.8116e-05 -2.19174 10.00000 0.1294642836 1.3786746264    0.129 -2.393  3.5963  5.278    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.25e-16      0.00 7.422e-01 2.577e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.752 13.819 12.867 11.607 10.726 10.023 9.147 8.649 8.503
9.8116e-05 -2.19174 10.00000 0.1491071582 1.4855960608    0.149 -2.231  3.6076  5.224    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.67e-16      0.00 7.405e-01 2.594e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 10.348 13.141 12.308 11.121 10.294 9.622 8.780 8.268 8.112
9.8116e-05 -2.19174 10.00000 0.1687500030 1.5756140947    0.168 -2.106  3.6150  5.181    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.17e-16      0.00 7.397e-01 2.602e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 10.034 12.661 11.901 10.756 9.962 9.309 8.489 7.973 7.811
9.8116e-05 -2.19174 10.00000 0.2080357224 1.7204496861    0.207 -1.902  3.6260  5.112    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.62e-16      0.00 7.392e-01 2.607e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 9.524 11.914 11.258 10.171 9.425 8.799 8.012 7.495 7.330
9.8116e-05 -2.19174 10.00000 0.2571428716 1.8581268787    0.257 -1.712  3.6360  5.055    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-15      0.00 7.393e-01 2.606e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 9.049 11.237 10.671 9.632 8.927 8.324 7.566 7.055 6.892
9.8116e-05 -2.19174 10.00000 0.3062500358 1.9652637243    0.306 -1.565  3.6444  5.018    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.92e-15      0.00 7.394e-01 2.605e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 8.682 10.710 10.217 9.214 8.540 7.956 7.224 6.721 6.562
9.8116e-05 -2.19174 10.00000 0.3553571701 2.0521113873    0.355 -1.442  3.6522  4.991    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.44e-15      0.00 7.404e-01 2.595e-01 1.796e-05 4.853e-06 4.400e-05 -1.000 1.001e-04 8.375 10.261 9.834 8.863 8.216 7.649 6.939 6.446 6.292
9.8116e-05 -2.19174 10.00000 0.4044643044 2.1246092319    0.404 -1.324  3.6604  4.962    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.1e-15      0.00 7.502e-01 2.497e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.994e-05 8.079 9.819 9.461 8.524 7.904 7.354 6.668 6.185 6.039
9.8116e-05 -2.19174 10.00000 0.4535714388 2.1864814758    0.453 -1.180  3.6734  4.920    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.27e-15      0.00 7.507e-01 2.492e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 7.721 9.237 8.987 8.104 7.524 7.000 6.351 5.885 5.751
9.8116e-05 -2.19174 10.00000 0.5026785731 2.2401986122    0.503 -1.021  3.6875  4.863    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.25e-15      0.00 7.523e-01 2.476e-01 1.788e-05 4.824e-06 4.375e-05 -1.000 9.996e-05 7.323 8.613 8.473 7.648 7.108 6.612 6.002 5.554 5.433
9.8116e-05 -2.19174 10.00000 0.5517857671 2.2851314545    0.551 -0.830  3.7060  4.786    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.01e-14      0.00 7.793e-01 2.206e-01 1.605e-05 4.332e-06 3.930e-05 -1.000 9.999e-05 6.846 7.870 7.857 7.111 6.617 6.157 5.594 5.172 5.068
9.8116e-05 -2.19174 10.00000 0.5857202411 2.3111710548    0.585 -0.694  3.7222  4.740    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.41e-14      0.00 7.868e-01 2.131e-01 1.556e-05 4.202e-06 3.813e-05 -1.000 9.999e-05 6.505 7.328 7.408 6.728 6.271 5.841 5.319 4.920 4.830
9.8116e-05 -2.19174 10.00000 0.6008928418 2.3217256069    0.601 -0.635  3.7292  4.721    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.63e-14      0.00 7.901e-01 2.098e-01 1.535e-05 4.145e-06 3.762e-05 -1.000 1.000e-04 6.359 7.103 7.219 6.566 6.124 5.707 5.202 4.813 4.729
9.8116e-05 -2.19174 10.00000 0.6122335196 2.3292226791    0.612 -0.588  3.7354  4.707    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.84e-14      0.00 7.933e-01 2.066e-01 1.514e-05 4.090e-06 3.713e-05 -1.000 9.997e-05 6.240 6.923 7.066 6.436 6.007 5.601 5.110 4.731 4.651
9.8116e-05 -2.19174 10.00000 0.6268575788 2.3384315968    0.627 -0.527  3.7435  4.688    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.13e-14      0.00 7.976e-01 2.023e-01 1.486e-05 4.015e-06 3.645e-05 -1.000 1.000e-04 6.088 6.694 6.871 6.270 5.858 5.465 4.994 4.625 4.553
9.8116e-05 -2.19174 10.00000 0.6399217844 2.3462502956    0.640 -0.472  3.7507  4.671    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.44e-14      0.00 8.018e-01 1.982e-01 1.460e-05 3.944e-06 3.582e-05 -1.000 8.050e-05 5.950 6.493 6.697 6.123 5.726 5.346 4.891 4.531 4.465
9.8116e-05 -2.19174 10.00000 0.6499999762 2.3520355225    0.650 -0.430  3.7563  4.657    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.71e-14      0.00 8.051e-01 1.948e-01 1.438e-05 3.886e-06 3.530e-05 -1.000 4.314e-05 5.844 6.342 6.564 6.010 5.625 5.255 4.811 4.458 4.397
9.8116e-05 -2.19174 10.00000 0.6578151584 2.3563814163    0.658 -0.396  3.7604  4.646    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.95e-14      0.00 8.084e-01 1.915e-01 1.417e-05 3.830e-06 3.479e-05 -1.000 1.001e-04 5.760 6.225 6.461 5.922 5.546 5.183 4.748 4.399 4.342
9.8116e-05 -2.19174 10.00000 0.6703730226 2.3631217480    0.670 -0.342  3.7670  4.626    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -3.39e-14      0.00 8.140e-01 1.859e-01 1.380e-05 3.734e-06 3.393e-05 -1.000 1.000e-04 5.625 6.047 6.299 5.782 5.418 5.067 4.645 4.304 4.253
9.8116e-05 -2.19174 10.00000 0.6827354431 2.3694791794    0.683 -0.288  3.7734  4.606    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -3.89e-14      0.00 8.200e-01 1.799e-01 1.342e-05 3.631e-06 3.301e-05 -1.000 1.000e-04 5.490 5.874 6.139 5.643 5.291 4.950 4.541 4.208 4.162
9.8116e-05 -2.19174 10.00000 0.6937190890 2.3749094009    0.694 -0.239  3.7789  4.586    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -4.42e-14      0.00 8.257e-01 1.742e-01 1.305e-05 3.534e-06 3.213e-05 -1.000 1.000e-04 5.368 5.721 5.996 5.518 5.177 4.844 4.446 4.119 4.078
