# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Sat Oct 31 01:01:18 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
9.8116e-05 -2.19174 9.90309 0.1000000015 1.1711064577    0.100 -2.784  3.5581  5.407    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-16      0.00 7.472e-01 2.527e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.731 15.930 14.474 12.916 11.840 10.977 9.993 9.597 9.481
9.8116e-05 -2.19174 9.90309 0.1098214313 1.2482755184    0.109 -2.636  3.5735  5.358    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.84e-16      0.00 7.460e-01 2.539e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.359 15.061 13.829 12.401 11.402 10.620 9.677 9.231 9.104
9.8116e-05 -2.19174 9.90309 0.1294642836 1.3786746264    0.129 -2.396  3.5960  5.280    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.22e-16      0.00 7.439e-01 2.560e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.759 13.833 12.878 11.617 10.734 10.030 9.154 8.656 8.510
9.8116e-05 -2.19174 9.90309 0.1491071582 1.4855960608    0.149 -2.236  3.6074  5.228    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.6e-16      0.00 7.425e-01 2.574e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.360 13.159 12.324 11.135 10.306 9.634 8.791 8.279 8.123
9.8116e-05 -2.19174 9.90309 0.1687500030 1.5756140947    0.168 -2.112  3.6147  5.186    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.05e-16      0.00 7.417e-01 2.582e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.049 12.681 11.919 10.772 9.978 9.324 8.503 7.987 7.826
9.8116e-05 -2.19174 9.90309 0.2080357224 1.7204496861    0.207 -1.908  3.6258  5.118    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.42e-16      0.00 7.410e-01 2.589e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 9.540 11.934 11.276 10.188 9.442 8.815 8.027 7.510 7.346
9.8116e-05 -2.19174 9.90309 0.2571428716 1.8581268787    0.257 -1.716  3.6359  5.059    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.41e-15      0.00 7.411e-01 2.588e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 9.999e-05 9.060 11.252 10.684 9.644 8.938 8.335 7.577 7.066 6.903
9.8116e-05 -2.19174 9.90309 0.3062500358 1.9652637243    0.306 -1.567  3.6442  5.019    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.9e-15      0.00 7.412e-01 2.587e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 9.999e-05 8.689 10.721 10.226 9.222 8.547 7.963 7.229 6.726 6.568
9.8116e-05 -2.19174 9.90309 0.3553571701 2.0521113873    0.355 -1.444  3.6519  4.992    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.43e-15      0.00 7.422e-01 2.577e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 8.380 10.271 9.842 8.870 8.222 7.654 6.943 6.449 6.296
9.8116e-05 -2.19174 9.90309 0.4044643044 2.1246092319    0.404 -1.328  3.6600  4.965    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.06e-15      0.00 7.503e-01 2.496e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 8.091 9.838 9.476 8.538 7.916 7.365 6.679 6.195 6.048
9.8116e-05 -2.19174 9.90309 0.4058488905 2.1264853477    0.405 -1.324  3.6604  4.964    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.08e-15      0.00 7.503e-01 2.496e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 8.081 9.821 9.463 8.525 7.905 7.355 6.669 6.186 6.040
9.8116e-05 -2.19174 9.90309 0.4535714388 2.1864814758    0.453 -1.188  3.6726  4.924    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.18e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 7.740 9.269 9.013 8.126 7.544 7.019 6.367 5.900 5.765
9.8116e-05 -2.19174 9.90309 0.5026785731 2.2401986122    0.503 -1.033  3.6864  4.869    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.04e-15      0.00 7.520e-01 2.479e-01 1.790e-05 4.829e-06 4.380e-05 -1.000 1.000e-04 7.352 8.659 8.510 7.681 7.138 6.640 6.026 5.577 5.455
9.8116e-05 -2.19174 9.90309 0.5517857671 2.2851314545    0.551 -0.851  3.7041  4.799    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.5e-15      0.00 7.736e-01 2.263e-01 1.643e-05 4.435e-06 4.024e-05 -1.000 9.775e-05 6.897 7.947 7.922 7.167 6.669 6.205 5.638 5.213 5.107
9.8116e-05 -2.19174 9.90309 0.6008928418 2.3217256069    0.601 -0.665  3.7262  4.739    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1  -1.5e-14      0.00 7.822e-01 2.177e-01 1.587e-05 4.285e-06 3.889e-05 -1.000 6.038e-05 6.433 7.211 7.311 6.647 6.199 5.776 5.263 4.871 4.784
9.8116e-05 -2.19174 9.90309 0.6081272960 2.3265452385    0.608 -0.637  3.7300  4.731    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1  -1.6e-14      0.00 7.838e-01 2.161e-01 1.576e-05 4.258e-06 3.864e-05 -1.000 1.001e-04 6.362 7.098 7.217 6.568 6.128 5.712 5.209 4.822 4.738
9.8116e-05 -2.19174 9.90309 0.6245759130 2.3370275497    0.624 -0.572  3.7386  4.712    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.87e-14      0.00 7.877e-01 2.122e-01 1.552e-05 4.191e-06 3.804e-05 -1.000 1.000e-04 6.201 6.853 7.010 6.391 5.969 5.567 5.085 4.710 4.633
9.8116e-05 -2.19174 9.90309 0.6395066977 2.3460073471    0.639 -0.514  3.7463  4.695    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.16e-14      0.00 7.915e-01 2.084e-01 1.527e-05 4.126e-06 3.746e-05 -1.000 1.000e-04 6.056 6.637 6.824 6.234 5.828 5.440 4.975 4.610 4.540
9.8116e-05 -2.19174 9.90309 0.6499999762 2.3520355225    0.650 -0.473  3.7518  4.683    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.38e-14      0.00 7.943e-01 2.057e-01 1.509e-05 4.078e-06 3.703e-05 -1.000 1.477e-05 5.953 6.488 6.695 6.124 5.729 5.352 4.899 4.540 4.475
9.8116e-05 -2.19174 9.90309 0.6527919769 2.3536019325    0.653 -0.462  3.7532  4.680    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.45e-14      0.00 7.953e-01 2.047e-01 1.503e-05 4.062e-06 3.688e-05 -1.000 5.782e-06 5.926 6.449 6.660 6.095 5.703 5.328 4.878 4.521 4.458
9.8116e-05 -2.19174 9.90309 0.6705458760 2.3632123470    0.670 -0.392  3.7622  4.657    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.91e-14      0.00 8.014e-01 1.985e-01 1.464e-05 3.956e-06 3.594e-05 -1.000 9.999e-05 5.751 6.204 6.444 5.911 5.538 5.178 4.747 4.401 4.345
9.8116e-05 -2.19174 9.90309 0.6862142682 2.3712205887    0.686 -0.330  3.7700  4.637    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1  -3.4e-14      0.00 8.073e-01 1.926e-01 1.425e-05 3.854e-06 3.501e-05 -1.000 7.318e-05 5.596 5.998 6.258 5.751 5.392 5.046 4.631 4.294 4.245
9.8116e-05 -2.19174 9.90309 0.6999999881 2.3779268265    0.700 -0.275  3.7767  4.617    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1  -3.9e-14      0.00 8.131e-01 1.868e-01 1.388e-05 3.755e-06 3.413e-05 -1.000 1.000e-04 5.459 5.824 6.096 5.610 5.264 4.928 4.526 4.196 4.154
9.8116e-05 -2.19174 9.90309 0.7145922780 2.3847022057    0.714 -0.217  3.7834  4.594    1  0.000  0.540     0.00     0.00     0.00     0.00     0.00 -1 -4.54e-14      0.00 8.207e-01 1.792e-01 1.336e-05 3.629e-06 3.302e-05 -1.000 1.000e-04 5.312 5.643 5.924 5.460 5.127 4.801 4.413 4.092 4.055
9.8116e-05 -2.19174 9.90309 0.7304120660 2.3916966915    0.730 -0.152  3.7903  4.567    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.38e-14      0.00 8.289e-01 1.711e-01 1.283e-05 3.500e-06 3.188e-05 -1.000 3.847e-05 5.150 5.449 5.737 5.295 4.975 4.662 4.287 3.977 3.945
9.8116e-05 -2.19174 9.90309 0.7449926138 2.3978419304    0.745 -0.091  3.7965  4.539    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -6.33e-14      0.00 8.360e-01 1.639e-01 1.238e-05 3.393e-06 3.094e-05 -1.000 6.266e-05 4.998 5.273 5.562 5.140 4.832 4.529 4.168 3.866 3.839
9.8116e-05 -2.19174 9.90309 0.7500000000 2.3998889923    0.750 -0.070  3.7986  4.529    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1  -6.7e-14      0.00 8.384e-01 1.615e-01 1.224e-05 3.360e-06 3.064e-05 -1.000 9.145e-05 4.945 5.213 5.502 5.086 4.781 4.482 4.125 3.828 3.802
9.8116e-05 -2.19174 9.90309 0.7589957118 2.4034888744    0.759 -0.031  3.8025  4.511    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -7.43e-14      0.00 8.390e-01 1.610e-01 1.227e-05 3.370e-06 3.075e-05 -1.000 1.194e-05 4.849 5.105 5.392 4.987 4.690 4.397 4.049 3.758 3.734
9.8116e-05 -2.19174 9.90309 0.7725012898 2.4087126255    0.772  0.028  3.8082  4.482    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -8.72e-14      0.00 8.398e-01 1.602e-01 1.233e-05 3.389e-06 3.094e-05 -1.000 -2.980e-08 4.700 4.941 5.223 4.834 4.549 4.265 3.930 3.649 3.629
9.8116e-05 -2.19174 9.90309 0.7849732041 2.4133534431    0.784  0.085  3.8135  4.453    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.02e-13      0.00 8.403e-01 1.596e-01 1.239e-05 3.407e-06 3.112e-05 -1.000 8.154e-05 4.557 4.788 5.061 4.687 4.411 4.137 3.813 3.542 3.525
9.8116e-05 -2.19174 9.90309 0.7963588238 2.4174444675    0.796  0.140  3.8183  4.424    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -1.19e-13      0.00 8.407e-01 1.592e-01 1.245e-05 3.425e-06 3.130e-05 -1.000 9.300e-05 4.420 4.643 4.907 4.545 4.278 4.012 3.699 3.439 3.423
9.8116e-05 -2.19174 9.90309 0.8000000119 2.4187245369    0.799  0.158  3.8198  4.414    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -1.25e-13      0.00 8.409e-01 1.590e-01 1.247e-05 3.431e-06 3.136e-05 -1.000 9.996e-05 4.375 4.596 4.856 4.499 4.234 3.971 3.662 3.405 3.389
9.8116e-05 -2.19174 9.90309 0.8005137444 2.4189040661    0.800  0.160  3.8200  4.413    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -1.26e-13      0.00 8.409e-01 1.590e-01 1.247e-05 3.431e-06 3.136e-05 -1.000 9.917e-05 4.369 4.589 4.849 4.492 4.228 3.965 3.657 3.400 3.385
9.8116e-05 -2.19174 9.90309 0.8107355237 2.4224219322    0.810  0.213  3.8247  4.384    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -1.46e-13      0.00 8.408e-01 1.591e-01 1.249e-05 3.436e-06 3.140e-05 -1.000 8.078e-05 4.237 4.451 4.700 4.355 4.099 3.844 3.547 3.301 3.287
9.8116e-05 -2.19174 9.90309 0.8201466799 2.4255716801    0.819  0.265  3.8291  4.355    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -1.69e-13      0.00 8.407e-01 1.592e-01 1.250e-05 3.442e-06 3.146e-05 -1.000 9.088e-05 4.107 4.316 4.554 4.220 3.973 3.725 3.439 3.202 3.189
9.8116e-05 -2.19174 9.90309 0.8291936517 2.4285223484    0.828  0.319  3.8335  4.323    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -1.97e-13      0.00 8.404e-01 1.595e-01 1.253e-05 3.450e-06 3.153e-05 -1.000 1.000e-04 3.974 4.180 4.405 4.081 3.842 3.603 3.326 3.099 3.087
9.8116e-05 -2.19174 9.90309 0.8369805813 2.4310033321    0.836  0.368  3.8371  4.293    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -2.27e-13      0.00 8.401e-01 1.598e-01 1.256e-05 3.457e-06 3.160e-05 -1.000 8.136e-05 3.850 4.054 4.267 3.952 3.720 3.488 3.221 3.002 2.990
9.8116e-05 -2.19174 9.90309 0.8445076942 2.4333515167    0.843  0.419  3.8406  4.260    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -2.64e-13      0.00 8.398e-01 1.602e-01 1.259e-05 3.465e-06 3.167e-05 -1.000 6.072e-05 3.723 3.926 4.125 3.820 3.595 3.369 3.110 2.900 2.888
9.8116e-05 -2.19174 9.90309 0.8500000238 2.4350347519    0.849  0.457  3.8431  4.234    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -2.96e-13      0.00 8.395e-01 1.605e-01 1.261e-05 3.471e-06 3.173e-05 -1.000 5.011e-05 3.627 3.829 4.019 3.719 3.500 3.279 3.026 2.821 2.810
9.8116e-05 -2.19174 9.90309 0.8500191569 2.4350407124    0.849  0.457  3.8431  4.234    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -2.96e-13      0.00 8.395e-01 1.605e-01 1.261e-05 3.471e-06 3.173e-05 -1.000 5.017e-05 3.626 3.828 4.018 3.719 3.499 3.278 3.025 2.821 2.810
9.8116e-05 -2.19174 9.90309 0.8587656617 2.4376699924    0.857  0.522  3.8473  4.190    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -3.59e-13      0.00 8.389e-01 1.610e-01 1.264e-05 3.479e-06 3.180e-05 -1.000 8.434e-05 3.464 3.666 3.838 3.550 3.339 3.126 2.883 2.689 2.678
9.8116e-05 -2.19174 9.90309 0.8666877747 2.4399991035    0.865  0.587  3.8503  4.141    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1  -4.4e-13      0.00 8.373e-01 1.626e-01 1.273e-05 3.503e-06 3.202e-05 -1.000 6.595e-05 3.302 3.503 3.661 3.381 3.177 2.971 2.735 2.548 2.537
9.8116e-05 -2.19174 9.90309 0.8687046170 2.4405841827    0.867  0.605  3.8509  4.126    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -4.67e-13      0.00 8.368e-01 1.631e-01 1.276e-05 3.511e-06 3.209e-05 -1.000 6.193e-05 3.257 3.460 3.614 3.336 3.133 2.928 2.694 2.508 2.497
9.8116e-05 -2.19174 9.90309 0.8695191741 2.4408197403    0.868  0.613  3.8509  4.119    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -4.81e-13      0.00 8.366e-01 1.633e-01 1.277e-05 3.514e-06 3.212e-05 -1.000 6.026e-05 3.238 3.441 3.593 3.316 3.113 2.908 2.674 2.489 2.478
9.8116e-05 -2.19174 9.90309 0.8741236329 2.4421410561    0.872  0.660  3.8503  4.072    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -5.61e-13      0.00 8.355e-01 1.645e-01 1.284e-05 3.532e-06 3.228e-05 -1.000 5.102e-05 3.120 3.326 3.473 3.196 2.993 2.788 2.553 2.367 2.356
9.8116e-05 -2.19174 9.90309 0.8785535693 2.4433972836    0.877  0.712  3.8467  4.008    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -6.79e-13      0.00 8.344e-01 1.656e-01 1.290e-05 3.550e-06 3.243e-05 -1.000 4.219e-05 2.990 3.203 3.349 3.066 2.858 2.648 2.404 2.213 2.200
9.8116e-05 -2.19174 9.90309 0.8793414831 2.4436192513    0.877  0.722  3.8456  3.994    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -7.09e-13      0.00 8.342e-01 1.658e-01 1.291e-05 3.553e-06 3.246e-05 -1.000 4.059e-05 2.965 3.180 3.326 3.041 2.831 2.620 2.374 2.180 2.167
9.8116e-05 -2.19174 9.90309 0.8800811172 2.4438271523    0.878  0.732  3.8441  3.978    2  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1  -7.4e-13      0.00 8.340e-01 1.660e-01 1.292e-05 3.556e-06 3.248e-05 -1.000 3.909e-05 2.940 3.156 3.304 3.016 2.804 2.590 2.341 2.144 2.131
9.8116e-05 -2.19174 9.90309 0.8825608492 2.4445211887    0.881  0.769  3.8368  3.913    2  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -8.63e-13      0.00 8.334e-01 1.666e-01 1.296e-05 3.566e-06 3.257e-05 -1.000 3.420e-05 2.847 3.074 3.231 2.928 2.704 2.477 2.211 1.999 1.985
9.8116e-05 -2.19174 9.90309 0.8844460845 2.4450459480    0.882  0.802  3.8273  3.843    2  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.01e-12      0.00 8.329e-01 1.671e-01 1.299e-05 3.573e-06 3.264e-05 -1.000 3.053e-05 2.765 3.007 3.176 2.853 2.612 2.369 2.081 1.850 1.834
9.8116e-05 -2.19174 9.90309 0.8855771422 2.4453594685    0.883  0.825  3.8192  3.788    2  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.13e-12      0.00 8.326e-01 1.673e-01 1.300e-05 3.577e-06 3.268e-05 -1.000 2.824e-05 2.708 2.966 3.144 2.803 2.548 2.292 1.984 1.736 1.718
